採樣分區,縣市,測站名稱,水體分類等級,採樣日期,測站編號,卡爾森指數,採樣深度,氣溫,水溫,酸鹼值,導電度,溶氧(滴定法),溶氧(電極法),溶氧飽和度,透明度,葉綠素a,總磷,正磷酸鹽,濁度,懸浮固體,化學需氧量,氨氮,總硬度,總鹼度,硝酸鹽氮,亞硝酸鹽氮,總有機碳,有機氮,總凱氏氮,備註
,,,,,,,m,℃,℃,　,μmho/cm25℃,mg/L,mg/L,%,m,μg/L,mg/L,mg/L,NTU,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L
阿公店水庫,高雄市,阿公店水庫一,乙,2019/12/12 上午 09:50:00,2075,52,0.5,23.0,22.4,8.32,435,--,8.5,97.8,1.6,8.3,0.028,--,2.4,3.2,6.9,0.01,--,--,--,--,1.77,--,--
阿公店水庫,高雄市,阿公店水庫一,乙,2019/11/14 上午 09:40:00,2075,49,0.5,28.0,26.5,8.20,426,--,7.2,90.0,1.6,6.2,0.017,--,3.0,3.5,<4.0,<0.01,--,--,--,--,1.44,--,--
阿公店水庫,高雄市,阿公店水庫一,乙,2019/10/7 上午 09:53:00,2075,45,0.5,32.5,29.8,8.44,398,--,8.1,108.8,2.8,4.7,0.017,--,2.4,2.9,5.5,0.03,--,--,--,--,1.24,--,--
阿公店水庫,高雄市,阿公店水庫一,乙,2019/9/16 上午 09:53:00,2075,47,0.5,31.2,30.8,8.34,388,--,8.2,111.0,1.4,2.8,0.018,--,6.0,4.4,<4.0,0.01,--,--,--,--,0.93,--,--
阿公店水庫,高雄市,阿公店水庫一,乙,2019/8/1 上午 09:00:00,2075,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,因故無法採樣
阿公店水庫,高雄市,阿公店水庫一,乙,2019/7/18 上午 09:30:00,2075,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,因故無法採樣
阿公店水庫,高雄市,阿公店水庫一,乙,2019/6/17 上午 10:00:00,2075,69,0.5,33.7,30.9,8.22,392,--,6.5,88.4,<0.15,20.9,0.025,--,400,275,19.3,0.35,--,--,--,--,3.48,--,--
阿公店水庫,高雄市,阿公店水庫一,乙,2019/5/8 上午 10:07:00,2075,71,0.5,24.2,25.9,8.48,480,--,7.9,98.6,0.2,21.3,0.101,--,40,36.2,11.9,0.01,--,--,--,--,2.35,--,--
阿公店水庫,高雄市,阿公店水庫一,乙,2019/4/18 上午 10:09:00,2075,59,0.5,29.7,29.5,8.44,470,--,8.0,104.8,0.5,5.3,0.051,--,21,18.2,6.2,0.01,--,--,--,--,1.84,--,--
阿公店水庫,高雄市,阿公店水庫一,乙,2019/3/14 下午 01:50:00,2075,55,0.5,30.0,25.4,8.40,468,--,8.9,108.4,0.6,2.4,0.039,--,13,11.2,8.2,<0.01,--,--,--,--,1.87,--,--
阿公店水庫,高雄市,阿公店水庫一,乙,2019/2/13 下午 01:42:00,2075,49,0.5,28.9,26.3,8.50,451,--,8.3,102.3,0.9,2.7,0.018,--,7.0,4.9,6.1,0.01,--,--,--,--,1.88,--,--
阿公店水庫,高雄市,阿公店水庫一,乙,2019/1/10 下午 02:18:00,2075,49,0.5,27.1,25.1,8.48,438,--,9.1,109.9,1.1,2.8,0.022,--,6.4,5.2,5.0,<0.01,--,--,--,--,2.22,--,--
阿公店水庫,高雄市,阿公店水庫二,乙,2019/12/12 上午 10:17:00,2076,51,0.5,23.8,22.9,8.28,437,--,8.3,96.0,1.6,9.3,0.018,--,1.8,3.1,6.9,<0.01,--,--,--,--,1.78,--,--
阿公店水庫,高雄市,阿公店水庫二,乙,2019/11/14 上午 10:07:00,2076,47,0.5,28.5,26.6,8.18,428,--,7.5,93.8,1.6,3.5,0.016,--,1.7,2.5,4.6,<0.01,--,--,--,--,1.56,--,--
阿公店水庫,高雄市,阿公店水庫二,乙,2019/10/7 上午 10:30:00,2076,45,0.5,33.6,30.2,8.38,401,--,7.8,104.1,2.8,4.4,0.018,--,2.4,3.0,4.1,0.01,--,--,--,--,1.23,--,--
阿公店水庫,高雄市,阿公店水庫二,乙,2019/9/16 上午 10:16:00,2076,48,0.5,32.0,31.0,8.28,402,--,7.6,104.0,1.2,3.2,0.018,--,5.7,4.1,<4.0,<0.01,--,--,--,--,1.09,--,--
阿公店水庫,高雄市,阿公店水庫二,乙,2019/8/1 上午 09:00:00,2076,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,因故無法採樣
阿公店水庫,高雄市,阿公店水庫二,乙,2019/7/18 上午 09:30:00,2076,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,因故無法採樣
阿公店水庫,高雄市,阿公店水庫二,乙,2019/6/17 上午 09:30:00,2076,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,因故無法採樣
阿公店水庫,高雄市,阿公店水庫二,乙,2019/5/8 上午 10:37:00,2076,69,0.5,26.4,26.2,8.54,462,--,7.9,98.8,0.2,16.1,0.070,--,65,55.8,12.2,0.02,--,--,--,--,2.23,--,--
阿公店水庫,高雄市,阿公店水庫二,乙,2019/4/18 上午 11:02:00,2076,61,0.5,30.6,29.6,8.48,472,--,8.0,104.9,0.4,6.3,0.056,--,28,23.7,8.6,0.01,--,--,--,--,1.90,--,--
阿公店水庫,高雄市,阿公店水庫二,乙,2019/3/14 下午 02:10:00,2076,53,0.5,30.1,25.0,8.52,453,--,9.0,108.6,0.7,2.8,0.031,--,10,8.3,7.4,<0.01,--,--,--,--,1.84,--,--
阿公店水庫,高雄市,阿公店水庫二,乙,2019/2/13 下午 02:00:00,2076,51,0.5,29.7,25.9,8.51,455,--,8.4,103.5,1.0,2.0,0.032,--,7.6,5.5,8.1,0.02,--,--,--,--,2.59,--,--
阿公店水庫,高雄市,阿公店水庫二,乙,2019/1/10 下午 02:32:00,2076,48,0.5,27.2,24.2,8.46,439,--,9.3,110.8,1.1,2.5,0.019,--,5.8,4.9,5.1,<0.01,--,--,--,--,2.22,--,--
阿公店水庫,高雄市,阿公店水庫三,乙,2019/12/12 上午 10:57:00,2077,51,0.5,24.5,22.9,8.28,433,--,8.4,97.6,1.4,6.0,0.025,--,2.1,2.9,6.1,0.01,--,--,--,--,1.92,--,--
阿公店水庫,高雄市,阿公店水庫三,乙,2019/12/12 上午 11:10:00,2077,--,6.5,24.5,22.2,8.16,434,--,7.6,87.8,--,2.7,0.016,--,4.2,5.6,5.7,0.01,--,--,--,--,1.68,--,--
阿公店水庫,高雄市,阿公店水庫三,乙,2019/11/14 上午 10:40:00,2077,52,0.5,28.9,26.5,8.10,425,--,6.6,82.8,1.2,7.6,0.023,--,4.5,5.2,5.0,<0.01,--,--,--,--,1.47,--,--
阿公店水庫,高雄市,阿公店水庫三,乙,2019/11/14 上午 10:55:00,2077,--,6.4,28.9,26.4,7.98,426,--,5.8,72.2,--,7.1,0.023,--,3.2,3.8,5.0,<0.01,--,--,--,--,1.47,--,--
阿公店水庫,高雄市,阿公店水庫三,乙,2019/10/7 上午 10:59:00,2077,47,0.5,34.0,30.2,8.34,403,--,8.0,108.0,2.4,4.9,0.020,--,2.8,2.6,5.5,<0.01,--,--,--,--,1.35,--,--
阿公店水庫,高雄市,阿公店水庫三,乙,2019/10/7 上午 11:11:00,2077,--,6.4,34.0,28.8,7.70,406,--,1.3,17.2,--,6.0,0.025,--,3.3,2.9,6.3,0.01,--,--,--,--,1.19,--,--
阿公店水庫,高雄市,阿公店水庫三,乙,2019/9/16 上午 10:44:00,2077,51,0.5,32.2,31.0,8.38,382,--,8.0,109.4,1.2,5.8,0.022,--,6.7,5.3,4.4,0.02,--,--,--,--,0.94,--,--
阿公店水庫,高雄市,阿公店水庫三,乙,2019/9/16 上午 10:56:00,2077,--,2.7,32.2,29.9,8.26,386,--,7.2,97.8,--,3.7,0.023,--,20,16.8,5.2,0.02,--,--,--,--,0.81,--,--
阿公店水庫,高雄市,阿公店水庫三,乙,2019/8/1 上午 09:00:00,2077,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,因故無法採樣
阿公店水庫,高雄市,阿公店水庫三,乙,2019/8/1 上午 09:00:00,2077,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,因故無法採樣
阿公店水庫,高雄市,阿公店水庫三,乙,2019/7/18 上午 09:30:00,2077,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,因故無法採樣
阿公店水庫,高雄市,阿公店水庫三,乙,2019/7/18 上午 09:30:00,2077,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,因故無法採樣
阿公店水庫,高雄市,阿公店水庫三,乙,2019/6/17 上午 10:59:00,2077,71,0.5,34.8,32.0,7.95,401,--,6.4,88.9,<0.15,16.8,0.042,--,550,535,27.7,0.40,--,--,--,--,3.93,--,--
阿公店水庫,高雄市,阿公店水庫三,乙,2019/6/17 上午 09:30:00,2077,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,水庫測點水深不足，無法採樣
阿公店水庫,高雄市,阿公店水庫三,乙,2019/5/8 上午 11:10:00,2077,70,0.5,28.4,28.2,8.50,478,--,7.5,96.6,0.2,18.4,0.080,--,50,39.4,8.9,0.05,--,--,--,--,2.31,--,--
阿公店水庫,高雄市,阿公店水庫三,乙,2019/5/8 上午 11:25:00,2077,--,1.7,28.4,27.5,8.44,486,--,6.7,86.0,--,12.3,0.071,--,55,44.1,9.7,0.06,--,--,--,--,2.29,--,--
阿公店水庫,高雄市,阿公店水庫三,乙,2019/4/18 上午 11:47:00,2077,65,0.5,31.4,28.8,8.50,465,--,9.0,117.6,0.5,18.6,0.073,--,27,23.8,10.4,0.01,--,--,--,--,2.18,--,--
