採樣分區,縣市,測站名稱,採樣日期,測站編號,水面至井口深度,水溫,導電度,酸鹼值,溶氧(電極法),溶氧飽和度,氧化還原電位,總硬度,總溶解固體物,氯鹽,氨氮,硝酸鹽氮,硫酸鹽,總有機碳,砷,鎘,鉻,銅,鉛,鋅,鐵,錳,汞,鎳,總酚,氟鹽,鈉,鉀,鈣,鎂,總鹼度,苯,甲苯,乙苯,二甲苯,naphthalene,四氯化碳,氯苯,氯仿,氯甲烷,1,4—二氯苯,1,1—二氯乙烷,1,2—二氯乙烷,1,1—二氯乙烯,順1,2—二氯乙烯,反1,2—二氯乙烯,三氯乙烯,四氯乙烯,氯乙烯,二氯甲烷,1,1,2—三氯乙烷,1,1,1—三氯乙烷,1,2-二氯苯,甲基第三丁基醚,備註
,,,,,m,℃,μmho/cm25℃,,mg/L,%,mV,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L
臺北盆地,基隆市,碇內國中,2017/12/1 上午 08:33:00,4145,3.922,24.4,366,5.6,1.0,--,123,132,241,17.1,0.24,0.68,102,<0.10,<0.0003,<0.001,0.001,0.002,0.003,0.008,2.18,1.19,--,--,<0.0060,<0.10,25.1,4.53,33.4,15.1,39.4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺北盆地,基隆市,碇內國中,2017/8/17 上午 08:18:00,4145,7.681,23.5,237,5.2,0.6,--,228,71.8,121,20.7,0.05,0.61,69.2,0.56,<0.0003,<0.001,0.002,0.001,0.003,0.006,0.021,0.323,--,--,<0.0060,<0.10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺北盆地,基隆市,碇內國中,2017/5/9 上午 08:29:00,4145,4.865,23.0,192,5.8,2.0,--,238,50.9,145,18.3,0.01,0.61,33.8,0.47,<0.0003,<0.001,0.002,0.003,<0.003,0.014,0.056,0.232,<0.0003,<0.005,<0.0060,0.15,12.6,2.21,13.7,4.90,24.4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺北盆地,基隆市,碇內國中,2017/4/27 下午 12:52:00,4145,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200
臺北盆地,基隆市,碇內國中,2017/2/18 上午 11:24:00,4145,5.072,24.2,202,5.7,1.4,--,246,41.0,135,17.7,0.27,1.23,35.9,0.39,<0.0003,<0.001,<0.001,<0.001,<0.003,0.006,0.086,0.145,<0.0003,<0.005,<0.0060,<0.10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺北盆地,基隆市,深美國小,2017/12/1 上午 10:28:00,4146,4.055,23.8,616,6.0,0.6,--,<68.6,238,424,34.0,0.39,<0.01,122,<0.10,0.0022,<0.001,0.008,<0.001,0.011,0.009,22.9,10.1,--,--,<0.0060,0.11,35.6,3.30,40.1,34.6,165,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺北盆地,基隆市,深美國小,2017/8/17 上午 10:27:00,4146,4.546,24.2,524,6.0,0.7,--,24.5,178,323,22.5,0.49,<0.01,99.0,0.54,0.0018,<0.001,0.005,<0.001,0.004,0.013,27.8,11.4,--,--,<0.0060,<0.10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺北盆地,基隆市,深美國小,2017/5/9 上午 10:27:00,4146,4.464,24.3,655,6.0,5.9,--,4.8,196,426,36.9,0.52,<0.01,127,0.83,0.0023,0.002,0.009,0.001,0.005,0.013,33.6,14.4,<0.0003,<0.005,<0.0060,0.16,25.5,2.59,33.1,27.6,141,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺北盆地,基隆市,深美國小,2017/4/27 下午 02:22:00,4146,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200
臺北盆地,基隆市,深美國小,2017/2/18 下午 01:26:00,4146,4.529,23.7,610,6.0,1.4,--,171,193,363,38.1,0.57,<0.01,127,0.72,0.0024,<0.001,0.011,<0.001,<0.003,0.007,32.9,15.5,<0.0003,<0.005,<0.0060,0.10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
