採樣分區,縣市,測站名稱,採樣日期,測站編號,水面至井口深度,水溫,導電度,酸鹼值,溶氧(電極法),溶氧飽和度,總硬度,總溶解固體物,氯鹽,氨氮,硝酸鹽氮,硫酸鹽,總有機碳,砷,鎘,鉻,銅,鉛,鋅,鐵,錳,汞,鎳,總酚,氟鹽,鈉,鉀,鈣,鎂,總鹼度,苯,甲苯,乙苯,二甲苯,naphthalene,四氯化碳,氯苯,氯仿,氯甲烷,1，4—二氯苯,1，1—二氯乙烷,1，2—二氯乙烷,1，1—二氯乙烯,順1，2—二氯乙烯,反1，2—二氯乙烯,三氯乙烯,四氯乙烯,氯乙烯,二氯甲烷,1，1，2—三氯乙烷,1，1，1—三氯乙烷,1，2-二氯苯,甲基第三丁基醚,備註
,,,,,m,℃,μmho/cm25℃,　,mg/L,%,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L
臺北盆地,基隆市,碇內國中,2019/11/15 上午 08:22:00,4145,6.042,24.9,223,5.48,0.2,--,57.5,138,20.2,0.39,<0.01,47.9,0.56,0.0005,<0.001,<0.001,<0.001,<0.003,0.014,0.612,0.674,--,--,<0.0060,<0.10,16.9,2.53,15.1,5.58,30.5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺北盆地,基隆市,碇內國中,2019/8/14 上午 11:26:00,4145,6.064,24.1,217,5.76,0.1,--,58.0,115,14.3,0.35,<0.01,35.4,0.69,0.0008,<0.001,0.002,<0.001,0.005,0.012,0.414,0.684,--,--,<0.0060,<0.10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺北盆地,基隆市,碇內國中,2019/5/29 上午 08:31:00,4145,4.647,23.3,250,5.91,0.5,--,73.7,200,17.4,0.26,<0.01,44.0,0.81,0.0007,<0.001,0.002,<0.001,<0.003,0.008,1.58,1.11,<0.0003,<0.005,<0.0060,<0.10,14.0,2.59,17.4,6.13,35.9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺北盆地,基隆市,碇內國中,2019/4/25 下午 12:52:00,4145,--,--,--,--,0.7,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200
臺北盆地,基隆市,碇內國中,2019/2/26 上午 11:29:00,4145,4.097,24.9,323,5.62,1.0,--,102,190,22.9,0.21,0.13,80.7,0.60,<0.0003,<0.001,0.001,<0.001,<0.003,0.012,1.25,0.892,--,--,<0.0060,<0.10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺北盆地,基隆市,深美國小,2019/11/15 上午 10:28:00,4146,4.495,24.2,668,5.87,0.2,--,203,496,22.1,0.77,<0.01,160,0.80,0.0020,0.003,0.012,<0.001,0.006,0.006,30.1,15.5,--,--,<0.0060,<0.10,27.7,2.25,29.0,27.5,132,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺北盆地,基隆市,深美國小,2019/8/14 下午 01:37:00,4146,4.455,24.6,692,5.92,0.1,--,205,401,3.8,0.90,<0.01,148,0.89,0.0020,0.002,0.009,<0.001,0.005,0.004,20.7,15.1,--,--,<0.0060,<0.10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺北盆地,基隆市,深美國小,2019/5/29 上午 10:30:00,4146,4.273,24.1,641,6.00,0.3,--,189,389,10.0,0.38,<0.01,135,0.75,0.0026,<0.001,0.008,<0.001,0.003,0.014,24.5,11.3,<0.0003,<0.005,<0.0060,<0.10,25.1,2.29,29.9,25.3,154,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺北盆地,基隆市,深美國小,2019/4/25 下午 02:22:00,4146,--,--,--,--,0.5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200
臺北盆地,基隆市,深美國小,2019/2/26 下午 12:30:00,4146,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,井況異常，無法採樣
臺北盆地,基隆市,五堵國小,2019/11/14 上午 10:13:00,4147,9.042,25.7,275,5.12,0.8,--,43.3,210,18.7,0.30,0.34,66.9,0.76,0.0004,<0.001,0.001,<0.001,<0.003,0.012,5.70,1.44,--,--,<0.0060,<0.10,28.2,3.65,9.03,4.43,24.6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
