採樣分區,河川,縣市,測站名稱,水體分類等級,採樣日期,測站編號,河川污染指數,氣溫,水溫,酸鹼值,導電度,溶氧(滴定法),溶氧(電極法),溶氧飽和度,生化需氧量,化學需氧量,懸浮固體,大腸桿菌群,氨氮,氯鹽,總磷,總有機碳,硝酸鹽氮,亞硝酸鹽氮,鎘,鉛,六價鉻,砷,汞,銅,鋅,錳,銀,硒,濁度,鉻,總氮,總凱氏氮,備註
,,,,,,,,℃,℃,,μmho/cm25℃,mg/L,mg/L,%,mg/L,mg/L,mg/L,CFU/100mL,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,NTU,mg/L,mg/L,mg/L
雙溪流域,雙溪,新北市,新寮大橋,甲,2017/12/5 上午 06:55:00,1034,1.0,15.7,18.4,7.3,81,--,9.5,100.7,<1.0,6.7,1.6,6000,0.07,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2017/11/7 上午 07:55:00,1034,1.0,25.6,22.6,7.4,88,--,9.0,103.4,1.3,5.9,1.6,7000,0.04,--,0.020,--,0.59,--,<0.001,<0.003,<0.002,<0.0003,<0.0003,<0.001,0.016,0.010,<0.001,--,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2017/10/12 上午 07:55:00,1034,1.0,26.4,23.6,7.4,82,--,8.8,104.8,<1.0,7.1,12.8,17000,0.03,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2017/9/6 上午 07:55:00,1034,1.0,30.1,25.6,7.5,89,--,8.4,103.9,<1.0,5.5,<1.0,3700,<0.01,--,0.021,--,0.51,--,<0.001,<0.003,<0.002,<0.0003,<0.0003,<0.001,0.015,0.013,<0.001,--,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2017/8/8 上午 07:55:00,1034,1.0,30.0,30.2,7.3,129,--,7.3,97.8,<1.0,7.6,3.6,2900,0.24,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2017/7/6 上午 07:55:00,1034,1.0,29.7,29.3,7.3,119,--,8.1,105.0,1.3,4.6,3.6,3000,0.25,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2017/6/20 上午 07:55:00,1034,1.0,26.0,23.3,7.6,149,--,9.0,107.2,<1.0,<4.0,2.6,5000,0.03,--,0.032,--,0.56,--,<0.001,0.006,<0.002,<0.0003,<0.0003,0.006,0.012,0.008,<0.001,--,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2017/5/3 上午 07:55:00,1034,1.0,25.2,23.0,7.7,98,--,9.2,107.5,<1.0,6.3,3.4,43000,<0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2017/4/10 上午 07:55:00,1034,1.0,23.7,23.3,7.7,103,--,8.7,103.8,1.1,5.1,2.2,2400,0.03,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2017/3/7 上午 07:55:00,1034,1.0,16.2,15.8,7.2,98,--,9.7,97.7,<1.0,<4.0,1.4,240000,0.08,--,0.067,0.68,0.66,0.009,<0.001,<0.003,<0.002,<0.0003,<0.0003,0.003,0.008,0.011,<0.001,<0.001,--,--,--,--
