採樣分區,河川,縣市,測站名稱,水體分類等級,採樣日期,測站編號,河川污染指數,氣溫,水溫,酸鹼值,導電度,溶氧(滴定法),溶氧(電極法),溶氧飽和度,生化需氧量,化學需氧量,懸浮固體,大腸桿菌群,氨氮,氯鹽,總磷,總有機碳,硝酸鹽氮,亞硝酸鹽氮,鎘,鉛,六價鉻,砷,汞,銅,鋅,錳,銀,鎳,硒,濁度,鉻,總氮,總凱氏氮,備註
,,,,,,,,℃,℃,,μmho/cm25℃,mg/L,mg/L,%,mg/L,mg/L,mg/L,CFU/100mL,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,NTU,mg/L,mg/L,mg/L
雙溪流域,雙溪,新北市,新寮大橋,甲,2018/12/6 上午 07:55:00,1034,1.0,23.7,20.4,7.24,100,--,9.2,102.1,<1.0,<4.0,1.8,2700,0.05,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2018/11/8 上午 07:55:00,1034,1.0,25.6,22.0,7.18,78,--,8.9,102.4,1.3,<4.0,2.1,5600,0.17,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2018/10/2 上午 07:55:00,1034,1.0,24.0,21.6,7.09,85,--,9.1,103.4,<1.0,4.2,1.8,5400,0.11,--,0.047,--,0.44,--,<0.001,<0.003,<0.002,<0.0003,<0.0003,0.002,0.011,0.008,<0.001,<0.005,--,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2018/9/4 上午 07:55:00,1034,1.0,28.9,27.6,7.28,101,--,7.7,98.8,<1.0,5.8,5.3,2200,0.09,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2018/8/3 上午 07:55:00,1034,1.0,32.3,28.4,7.22,111,--,7.7,100.7,1.2,4.7,4.2,1300,0.13,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2018/7/3 上午 07:55:00,1034,1.0,31.8,28.0,7.28,104,--,8.4,108.3,1.6,8.0,4.8,570000,0.08,--,0.016,--,0.25,--,<0.001,<0.003,<0.002,0.0004,<0.0003,0.006,0.008,0.020,<0.001,<0.005,--,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2018/6/5 上午 07:55:00,1034,1.0,30.6,27.3,7.26,129,--,8.3,105.0,<1.0,<4.0,10.2,1800,0.13,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2018/5/2 上午 07:55:00,1034,1.0,30.1,25.7,7.48,110,--,7.6,93.3,1.8,6.4,4.3,1900,0.05,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2018/4/3 上午 07:55:00,1034,1.0,26.5,22.2,7.44,113,--,9.0,104.3,1.0,5.7,3.5,19000,0.28,--,0.036,--,0.33,--,<0.001,<0.003,<0.002,0.0004,<0.0003,0.002,0.008,0.023,<0.001,<0.005,--,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2018/3/6 上午 07:55:00,1034,1.0,17.4,19.1,7.32,100,--,8.8,94.6,<1.0,5.8,6.8,23000,0.19,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2018/2/8 上午 07:55:00,1034,1.0,11.3,14.6,7.16,70,--,10.6,104.4,<1.0,<4.0,3.6,4400,0.09,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2018/1/10 上午 07:55:00,1034,1.0,10.8,14.9,7.25,79,--,11.6,114.7,<1.0,7.7,3.1,11000,0.03,--,0.011,0.37,0.68,0.003,<0.001,<0.003,<0.002,<0.0003,<0.0003,<0.001,0.012,0.010,<0.001,--,<0.001,--,--,--,--
雙溪流域,雙溪,新北市,貢寮大橋,甲,2018/12/6 上午 08:45:00,1035,1.0,23.4,21.1,7.16,164,--,9.2,103.4,<1.0,<4.0,<1.0,6100,0.06,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,貢寮大橋,甲,2018/11/8 上午 08:45:00,1035,1.0,27.1,22.4,7.12,94,--,8.8,101.1,<1.0,<4.0,1.8,3000,0.03,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,貢寮大橋,甲,2018/10/2 上午 08:45:00,1035,1.0,26.7,22.9,7.05,102,--,9.1,105.9,<1.0,4.4,1.2,2800,0.03,--,0.023,--,0.44,--,<0.001,<0.003,<0.002,<0.0003,<0.0003,0.002,0.005,0.009,<0.001,<0.005,--,--,--,--,--
雙溪流域,雙溪,新北市,貢寮大橋,甲,2018/9/4 上午 08:45:00,1035,1.0,29.1,28.7,7.18,117,--,8.0,103.6,<1.0,5.7,2.5,190,0.05,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,貢寮大橋,甲,2018/8/3 上午 08:45:00,1035,1.0,30.4,29.8,7.18,146,--,7.8,104.3,1.1,<4.0,2.6,250,0.04,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,貢寮大橋,甲,2018/7/3 上午 08:45:00,1035,1.0,31.1,29.1,7.16,124,--,7.9,103.6,1.1,6.5,4.1,110,0.02,--,0.021,--,0.21,--,<0.001,<0.003,<0.002,0.0006,<0.0003,0.001,0.005,0.015,<0.001,<0.005,--,--,--,--,--
雙溪流域,雙溪,新北市,貢寮大橋,甲,2018/6/5 上午 08:45:00,1035,1.0,27.6,28.0,7.04,141,--,8.5,109.2,1.3,6.7,4.3,110,0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,貢寮大橋,甲,2018/5/2 上午 08:45:00,1035,1.0,29.7,26.5,7.42,131,--,9.0,113.1,<1.0,6.0,5.0,400,0.02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,貢寮大橋,甲,2018/4/3 上午 08:45:00,1035,1.0,26.8,23.7,7.20,133,--,9.1,107.5,1.2,6.3,3.2,2200,0.04,--,0.027,--,0.42,--,<0.001,<0.003,<0.002,0.0006,<0.0003,0.002,0.007,0.020,<0.001,<0.005,--,--,--,--,--
雙溪流域,雙溪,新北市,貢寮大橋,甲,2018/3/6 上午 08:45:00,1035,1.0,17.2,19.4,7.26,114,--,8.2,88.8,<1.0,7.0,4.7,8000,0.04,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,貢寮大橋,甲,2018/2/8 上午 08:45:00,1035,1.0,13.8,14.6,7.08,83,--,10.2,99.7,<1.0,<4.0,6.9,4100,0.04,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,貢寮大橋,甲,2018/1/10 上午 08:45:00,1035,1.0,15.3,15.6,7.40,96,--,10.1,101.9,1.1,8.0,3.6,2700,0.01,--,0.020,0.34,0.78,<0.001,<0.001,<0.003,<0.002,<0.0003,<0.0003,<0.001,0.010,0.006,<0.001,--,<0.001,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,竹安橋,丙,2018/12/4 上午 10:05:00,1679,3.3,26.8,24.4,7.53,19000,--,4.3,53.2,1.1,7.3,22.0,4100,0.74,6120,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,竹安橋,丙,2018/11/13 下午 02:55:00,1679,2.0,26.0,24.0,7.53,7720,--,6.0,71.4,<1.0,12.4,18.9,6800,0.51,2300,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,竹安橋,丙,2018/10/4 上午 08:35:00,1679,2.8,22.9,23.9,7.53,13500,--,4.4,54.4,1.4,13.0,13.0,2900,0.51,4220,0.130,--,0.36,--,<0.001,<0.003,<0.002,0.0036,<0.0003,0.002,0.005,0.064,<0.001,<0.005,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,竹安橋,丙,2018/9/2 下午 03:50:00,1679,1.5,31.6,31.4,8.01,30500,--,7.2,104.5,2.9,13.8,23.5,1200,0.42,9920,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,竹安橋,丙,2018/8/7 上午 08:35:00,1679,3.3,33.1,31.9,7.65,24000,--,4.2,62.1,2.2,12.3,27.5,19000,0.68,7380,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,竹安橋,丙,2018/7/5 上午 04:35:00,1679,2.0,27.5,27.4,7.82,25600,--,5.5,74.9,1.7,9.4,14.1,5300,0.67,8560,0.085,--,0.42,--,<0.001,<0.003,<0.002,0.0033,<0.0003,<0.001,0.006,0.018,<0.001,<0.005,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,竹安橋,丙,2018/6/8 上午 07:35:00,1679,4.0,32.7,29.4,7.16,1860,--,3.3,43.1,2.4,20.3,40.4,96000,1.15,510,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,竹安橋,丙,2018/5/11 上午 09:35:00,1679,2.8,27.2,27.6,7.56,12800,--,5.1,67.7,2.6,11.7,15.6,9000,1.03,3020,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,竹安橋,丙,2018/4/10 上午 08:15:00,1679,2.8,18.6,21.8,7.70,20800,--,5.4,62.9,2.0,12.3,15.9,14000,1.08,5920,0.089,--,0.42,--,<0.001,<0.003,<0.002,0.0045,<0.0003,0.002,0.006,0.086,<0.001,<0.005,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,美慶山莊,甲,2018/12/4 上午 07:45:00,1332,1.0,19.8,19.2,7.74,144,--,9.2,100.1,<1.0,5.3,1.6,620,<0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,美慶山莊,甲,2018/11/13 上午 07:55:00,1332,1.0,25.1,20.6,7.84,120,--,9.1,102.5,<1.0,6.2,1.8,2100,0.02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
