採樣分區,縣市,測站名稱,水體分類等級,採樣日期,測站編號,卡爾森指數,採樣深度,氣溫,水溫,酸鹼值,導電度,溶氧(滴定法),溶氧(電極法),溶氧飽和度,透明度,葉綠素a,總磷,正磷酸鹽,濁度,懸浮固體,化學需氧量,氨氮,總硬度,總鹼度,硝酸鹽氮,亞硝酸鹽氮,總有機碳,有機氮,總凱氏氮,備註
,,,,,,,m,℃,℃,,μmho/cm25℃,mg/L,mg/L,%,m,μg/L,mg/L,mg/L,NTU,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L
阿公店水庫,高雄市,阿公店水庫一,乙,2018/12/18 下午 01:55:00,2075,54,0.5,27.3,24.1,8.28,426,--,8.4,99.1,0.7,4.6,0.029,--,14,11.8,5.4,<0.01,--,--,--,--,2.06,--,--
阿公店水庫,高雄市,阿公店水庫一,乙,2018/11/13 下午 01:37:00,2075,46,0.5,30.8,28.1,8.34,406,--,8.2,105.6,2.1,3.2,0.018,--,2.4,2.8,7.0,<0.01,--,--,--,--,2.41,--,--
阿公店水庫,高雄市,阿公店水庫一,乙,2018/10/25 下午 01:47:00,2075,47,0.5,32.8,29.1,8.55,376,--,8.7,113.6,1.5,3.5,0.016,--,1.8,4.5,9.5,<0.01,--,--,--,--,2.53,--,--
阿公店水庫,高雄市,阿公店水庫一,乙,2018/9/21 下午 01:16:00,2075,61,0.5,34.4,33.1,8.58,352,--,8.7,121.9,0.7,11.1,0.068,--,40,19.9,8.7,0.03,--,--,--,--,1.23,--,--
阿公店水庫,高雄市,阿公店水庫一,甲,2018/8/3 上午 12:00:00,2075,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
阿公店水庫,高雄市,阿公店水庫一,甲,2018/7/12 上午 12:00:00,2075,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,計畫停止採樣
阿公店水庫,高雄市,阿公店水庫一,甲,2018/6/4 上午 12:00:00,2075,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,計畫停止採樣
阿公店水庫,高雄市,阿公店水庫一,甲,2018/5/3 上午 12:00:00,2075,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
阿公店水庫,高雄市,阿公店水庫一,甲,2018/4/18 上午 10:10:00,2075,55,0.5,29.8,27.9,8.40,503,--,7.5,95.5,0.6,2.5,0.043,--,26,24.4,5.9,0.03,--,--,--,--,2.33,--,--
阿公店水庫,高雄市,阿公店水庫一,甲,2018/2/9 上午 10:15:00,2075,57,0.5,21.6,18.0,8.30,474,--,9.3,98.7,0.6,3.9,0.046,--,16,12.3,4.0,0.02,--,--,--,--,--,--,--
