採樣分區,河川,縣市,測站名稱,水體分類等級,採樣日期,測站編號,河川污染指數,氣溫,水溫,酸鹼值,導電度,溶氧(滴定法),溶氧(電極法),溶氧飽和度,生化需氧量,化學需氧量,懸浮固體,大腸桿菌群,氨氮,氯鹽,總磷,總有機碳,硝酸鹽氮,亞硝酸鹽氮,鎘,鉛,六價鉻,砷,汞,銅,鋅,錳,銀,鎳,硒,濁度,鉻,總氮,總凱氏氮,備註
,,,,,,,,℃,℃,　,μmho/cm25℃,mg/L,mg/L,%,mg/L,mg/L,mg/L,CFU/100mL,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,NTU,mg/L,mg/L,mg/L
雙溪流域,雙溪,新北市,新寮大橋,甲,2019/12/3 上午 07:55:00,1034,1.0,15.1,16.7,7.03,83,--,10.0,102.7,<1.0,<4.0,9.1,30000,0.02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2019/11/7 上午 07:55:00,1034,1.0,21.2,20.6,7.12,87,--,9.1,102.1,<1.0,<4.0,1.0,910000,0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2019/10/3 上午 07:55:00,1034,1.0,26.3,23.7,7.04,76,--,8.7,103.0,<1.0,<4.0,2.8,24000,0.09,--,0.061,--,0.40,--,<0.001,<0.003,<0.002,<0.0003,<0.0003,<0.001,0.010,0.008,<0.001,<0.005,--,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2019/9/3 上午 07:55:00,1034,1.0,29.2,26.6,7.42,95,--,8.3,103.8,<1.0,5.2,3.0,41000,0.13,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2019/8/2 上午 07:55:00,1034,1.0,33.4,28.5,7.60,111,--,7.5,97.4,1.1,9.8,9.2,2400,0.11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2019/7/9 上午 07:55:00,1034,1.0,28.1,26.0,7.93,89,--,8.6,107.0,1.3,9.3,5.3,32000,0.03,--,0.086,--,0.40,--,<0.001,<0.003,<0.002,0.0003,<0.0003,0.002,0.006,0.016,<0.001,<0.005,--,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2019/6/6 上午 07:55:00,1034,1.0,32.2,24.6,7.34,86,--,8.6,103.3,<1.0,6.6,1.6,5600,0.12,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2019/5/7 上午 07:55:00,1034,1.5,21.7,19.5,7.52,67,--,9.3,101.2,<1.0,9.6,39.0,25000,<0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2019/4/9 上午 07:55:00,1034,1.0,26.1,23.6,7.81,97,--,9.0,106.2,1.1,6.2,4.0,53000,0.15,--,0.022,--,0.23,--,<0.001,0.003,<0.002,<0.0003,<0.0003,0.004,0.006,0.017,<0.001,<0.005,--,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2019/3/7 上午 07:55:00,1034,1.0,14.2,17.2,7.36,101,--,9.4,97.9,<1.0,<4.0,3.8,22000,0.11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2019/2/12 上午 07:55:00,1034,1.0,21.2,17.4,7.24,81,--,10.1,104.7,1.8,8.8,6.0,34000,0.22,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,新寮大橋,甲,2019/1/8 上午 07:55:00,1034,1.0,19.3,19.1,7.40,73,--,9.4,101.5,<1.0,6.1,2.4,72000,<0.01,--,0.008,0.46,0.41,0.003,<0.001,<0.003,<0.002,<0.0003,<0.0003,0.001,0.004,0.006,<0.001,<0.005,<0.001,--,--,--,--
雙溪流域,雙溪,新北市,貢寮大橋,甲,2019/12/3 上午 08:45:00,1035,1.0,15.2,16.7,7.04,104,--,9.8,99.9,<1.0,<4.0,8.4,4300,0.02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,貢寮大橋,甲,2019/11/7 上午 08:45:00,1035,1.0,23.8,21.3,7.08,114,--,8.7,98.7,<1.0,<4.0,1.4,120000,0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,貢寮大橋,甲,2019/10/3 上午 08:45:00,1035,1.0,26.9,24.1,7.03,95,--,8.2,98.3,<1.0,<4.0,2.8,7000,0.02,--,0.033,--,0.49,--,<0.001,<0.003,<0.002,<0.0003,<0.0003,<0.001,0.008,0.012,<0.001,<0.005,--,--,--,--,--
雙溪流域,雙溪,新北市,貢寮大橋,甲,2019/9/3 上午 08:45:00,1035,1.0,29.7,28.6,7.10,112,--,8.4,109.6,<1.0,4.8,5.2,2300,0.03,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,貢寮大橋,甲,2019/8/2 上午 08:45:00,1035,1.0,32.6,29.3,7.38,117,--,8.1,106.1,<1.0,8.7,7.2,800,0.03,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,貢寮大橋,甲,2019/7/9 上午 08:45:00,1035,1.0,29.2,28.2,7.57,113,--,8.7,112.8,<1.0,6.5,4.2,30000,0.03,--,0.058,--,0.33,--,<0.001,<0.003,<0.002,0.0005,<0.0003,0.001,0.006,0.016,<0.001,<0.005,--,--,--,--,--
雙溪流域,雙溪,新北市,貢寮大橋,甲,2019/6/6 上午 08:45:00,1035,1.0,35.6,26.4,7.30,104,--,8.8,109.3,<1.0,5.8,5.5,3600,0.04,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,貢寮大橋,甲,2019/5/7 上午 08:45:00,1035,1.5,21.3,19.5,7.78,78,--,9.1,98.9,<1.0,9.8,48.2,38000,<0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
雙溪流域,雙溪,新北市,貢寮大橋,甲,2019/4/9 上午 08:45:00,1035,1.0,26.6,25.1,7.52,113,--,9.2,111.3,1.2,6.1,3.9,2400,0.04,--,0.035,--,0.24,--,<0.001,<0.003,<0.002,0.0005,<0.0003,0.002,0.006,0.013,<0.001,<0.005,--,--,--,--,--
雙溪流域,雙溪,新北市,貢寮大橋,甲,2019/3/7 上午 08:45:00,1035,1.0,14.4,17.4,7.13,121,--,9.3,96.3,<1.0,<4.0,3.4,3800,0.04,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
